Precincts,Demographics,Candidates,Abstain
121-RW05,,,
121-07A,,,
121-AP10,,,
121-CP01B,,,
121-SS11A,,,
121-SS07A,,,
121-SS11D,,,
121-SS11C,,,
121-SS15B,,,
121-SS15A,,,
121-SS07C,,,
121-SS07B,,,
121-02G,,,
121-07J,,,
121-SS08C,,,
121-SS11B,,,
121-09E,,,
121-SS08B,,,
121-10G,,,
121-04X1,,,
121-CP05B,,,
121-10R,,,
121-SS02A,,,
121-SS02B,,,
121-04L,,,
121-03S,,,
121-07F,,,
121-03L,,,
121-05A1,,,
121-SC08E,,,
121-SC18A,,,
121-03E,,,
121-SC08A,,,
121-SC08C,,,
121-UC01E,,,
121-SC21A,,,
121-UC01B,,,
121-UC01C,,,
121-AP07A,,,
121-11E2,,,
121-11E1,,,
245-207,,,
245-307,,,
245-105,,,
245-208,,,
245-107,,,
169-ROBERTS,,,
245-210,,,
245-204,,,
169-BARRON,,,
237-101,,,
289-HIGGSVILLE,,,
245-203,,,
211-CENTRAL MORGAN,,,
245-201,,,
245-101,,,
245-111,,,
127-CHRISTIAN RENEWAL,,,
191-SAPELO ISLAND,,,
183-TIBET,,,
127-ST WILLIAM CATHOLIC CHURCH,,,
183-FAITH BAPTIST ANNEX,,,
245-102,,,
211-CLACKS CHAPEL,,,
211-BETH/SPRINGFIELD,,,
039-EAST KINGSLAND,,,
039-NORTH ST MARYS,,,
127-SATILLA MARSHES,,,
127-HAMPTON RIVER,,,
127-BROOKMAN,,,
289-JEFFERSONVILLE/WARE,,,
191-NORTH DARIEN,,,
191-DARIEN,,,
127-STERLING ELEMENTARY,,,
127-HOWARD COFFIN PARK,,,
127-THE CHAPEL,,,
039-MUSH BLUFF,,,
127-URBANA-PERRY PARKS,,,
183-RYE PATCH/OAK DALE,,,
039-HARRIETTS BLUFF,,,
039-WAVERLY,,,
321-COUNTY LINE,,,
177-LEESBURG,,,
321-OAKFIELD,,,
127-BLYTHE ISLAND BAPTIST,,,
177-CHOKEE,,,
305-GARDI,,,
127-SELDEN PARK,,,
127-COLLEGE PLACE UMC,,,
261-PLAINS,,,
261-GSW CONF CENTER,,,
261-REESE PARK,,,
321-PINEY WOODS,,,
261-REC DEPT,,,
127-JEKYLL ISLAND,,,
321-RED ROCK,,,
261-LESLIE,,,
031-LEEFIELD,,,
103-1B,,,
051-BLOOMINGDALE COMM CTR,,,
305-ALTAMAHA,,,
051-BAMBOO FARMS,,,
081-CONEY,,,
261-AGRI-CENTER,,,
261-AIRPORT,,,
217-FAIRVIEW,,,
217-STANSELLS,,,
247-LA,,,
297-WEST WALTON,,,
059-2B,,,
237-104,,,
133-OLD SALEM,,,
141-DEVEREUX FIRE STATION,,,
291-DOOLEY,,,
291-GUMLOG,,,
217-TOWN,,,
247-MA,,,
291-BLAIRSVILLE,,,
247-SP,,,
